policy,requester_id,context,difficulty,accepted,status,challenge_rtt_ms,result_rtt_ms,solve_ms,verify_ms,hashes,total_exchange_ms
idba,sybil-0,hotspot,21,1,accepted,2.789594,2.259116,761.641173,0.018310,1500133,768.734775
idba,sybil-0,hotspot,21,1,accepted,2.535214,2.152787,152.732675,0.017310,306763,159.667081
idba,sybil-0,default,20,1,accepted,2.637422,2.554883,178.377679,0.015690,358676,185.753259
idba,sybil-0,hotspot,21,1,accepted,2.717283,2.343867,916.766881,0.017537,1796165,923.949416
idba,sybil-0,committee,21,1,accepted,2.849366,2.473744,212.051006,0.017367,423932,219.554840
idba,sybil-0,hotspot,21,1,accepted,2.747055,2.317625,2432.351802,0.017465,4703297,2439.437505
idba,sybil-0,hotspot,21,1,accepted,2.833383,2.272211,321.699417,0.017462,639245,328.856143
idba,sybil-0,committee,21,1,accepted,2.593344,2.507073,842.924709,0.018110,1646112,850.079768
idba,sybil-0,reward,21,1,accepted,2.878777,2.580868,784.241881,0.017649,1527478,791.810356
idba,sybil-0,reward,21,1,accepted,2.765406,2.643061,488.354172,0.017336,966108,495.868933
idba,sybil-0,default,20,1,accepted,2.748290,2.559846,176.561385,0.015754,350849,184.109684
idba,sybil-0,hotspot,21,1,accepted,2.500267,2.557138,900.161382,0.017818,1756889,907.444927
idba,sybil-0,default,20,1,accepted,2.863655,2.297598,2027.843469,0.016054,3902339,2035.089491
idba,sybil-0,committee,21,1,accepted,2.398702,1.945742,1463.976041,0.018493,2895059,1470.313352
idba,sybil-0,hotspot,21,1,accepted,2.886750,1.971394,307.943251,0.017534,626972,314.826820
idba,sybil-0,reward,21,1,accepted,2.663188,2.044531,911.580612,0.018194,1777605,918.431137
idba,sybil-0,hotspot,21,1,accepted,2.763515,2.200657,2409.159621,0.017120,4643845,2416.303024
idba,sybil-0,default,20,1,accepted,2.678533,1.965390,701.785501,0.016087,1375128,708.648614
idba,sybil-0,hotspot,21,1,accepted,2.691795,2.459886,2050.028349,0.019391,3945529,2057.279148
idba,sybil-0,default,20,1,accepted,2.360002,2.507822,73.620531,0.015892,147183,80.485481
idba,sybil-0,reward,21,1,accepted,2.804976,2.349535,837.755291,0.017309,1635335,844.918828
idba,sybil-0,hotspot,21,1,accepted,2.643239,2.558224,382.949037,0.017351,759599,390.317071
idba,sybil-0,committee,21,1,accepted,2.927925,2.039786,1630.309911,0.017136,3119397,1637.613316
idba,sybil-0,committee,21,1,accepted,2.749973,1.932240,502.543531,0.017496,977129,509.341191
idba,sybil-0,committee,21,1,accepted,2.648313,2.524195,177.330343,0.017279,348983,184.656024
idba,sybil-0,default,20,1,accepted,2.558272,1.989489,137.267110,0.015940,270703,143.939579
idba,sybil-0,committee,21,1,accepted,2.773326,2.504998,14.093309,0.017178,28824,21.695419
